Zip Code,Mean income (dollars); Estimate; All households,Mean income (dollars); Margin of Error; All households,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree,Percent; Estimate; Population 25 years and over - Less than 9th grade,"Percent; Estimate; Population 25 years and over - 9th to 12th grade, no diploma","Percent; Estimate; Population 25 years and over - Some college, no degree",Percent; Estimate; Population 25 years and over - Associate's degree,Percent; Estimate; Population 25 years and over - Bachelor's degree,Percent; Estimate; Population 25 years and over - Graduate or professional degree,Now married (except separated); Estimate; Population 15 years and over,Divorced; Estimate; Population 15 years and over,Never married; Estimate; Population 15 years and over
56239,84764,11885,20250,32813,33750,55208,53750,1.0,3.7,22.3,15.4,15.7,11.3,71.5,1.9,22.9
56240,75679,9261,26563,35147,36250,43125,-,6.3,5.5,16.1,13.3,12.6,1.2,64.9,7.1,14.8
56241,65584,4458,-,29663,35720,51875,66667,1.3,3.6,27.3,13.5,10.0,5.1,55,12.3,24.7
56243,72705,7039,39063,32440,36288,48750,-,2.4,5.8,22.9,14.6,10.7,5.3,56.3,11.4,26.9
56244,119939,51767,-,31979,36500,41250,26406,1.9,2.9,21.6,16.0,22.6,6.7,61.7,6.7,29.4
56245,87172,17456,35893,46250,30000,37361,-,4.5,2.9,27.5,14.8,17.2,1.6,64.1,8,25
56248,74043,16607,-,35577,31458,41528,48750,1.6,1.7,27.6,15.8,11.1,5.2,64.6,12.9,15.4
56249,90912,17609,-,33750,30750,42188,50625,0.9,2.2,24.8,13.5,11.7,3.9,65.1,9.7,21.3
56251,68698,6815,-,31667,34038,41667,80000,2.7,2.6,24.9,22.0,12.0,3.8,69.4,5,21.1
56252,60426,6473,38021,30750,36319,51458,52857,2.6,5.3,24.5,15.2,17.0,4.4,57.5,11.3,22.4
56253,82747,9046,31667,34732,36042,43750,26250,2.9,6.7,27.1,19.4,11.5,1.8,55.1,13.6,26.4
56255,82666,20078,-,29688,33250,53750,-,0.5,1.8,31.8,6.4,13.6,4.1,73.3,4.6,18.3
56256,68085,7217,12813,25978,35798,40066,60588,3.9,2.9,26.4,13.4,13.7,5.1,59.2,9.6,21.5
56257,68208,18425,18750,21029,36250,51000,-,2.3,7.7,24.0,8.7,12.3,0.5,52,15.5,20.1
56258,78083,10616,18200,31012,37077,40429,63598,3.9,4.1,18.8,11.9,22.5,8.2,48.6,7.7,37.4
56260,64881,4868,36250,25556,35781,42500,-,2.8,5.5,22.2,13.3,11.6,3.3,67.9,8.2,20.4
56262,67409,6827,26250,18906,30875,37292,36875,9.7,7.0,25.3,10.1,13.5,6.2,59.9,5.6,25.6
56263,71094,11699,36250,51250,31771,56750,-,1.8,2.4,24.6,19.2,14.7,2.4,54.8,9.6,29
56264,71409,6035,23654,31550,39565,40921,56500,2.0,6.1,24.8,12.1,15.0,4.1,61.5,9.7,21.2
56265,73444,6727,17313,33981,35969,67171,57500,6.9,2.9,23.9,12.0,16.2,5.0,55.1,11.3,25.3
56266,67361,5471,21875,30982,40038,40294,10625,4.1,5.5,25.1,11.0,14.2,3.4,53.7,11.6,26.4
56267,77132,7864,26000,33462,41125,44122,72609,5.6,3.0,19.1,18.2,21.7,9.1,47.1,4.3,41.8
56270,58172,5587,-,30595,31250,32321,84583,3.3,8.2,22.0,15.2,5.9,3.0,42.2,15.8,36.5
56271,80110,14435,21607,30833,35563,37250,33750,4.1,5.8,26.3,12.8,13.6,2.9,63.9,6.9,25.2
56273,78168,6723,33750,25918,33839,45625,62500,3.0,5.5,22.6,18.2,16.5,7.2,66,8.7,18.8
56274,94704,23612,-,-,-,-,-,1.1,11.0,24.2,13.2,27.5,3.3,72.5,2,10.8
56276,68340,19655,"2,500-",-,40625,-,43875,0.5,8.5,19.0,10.1,22.8,6.9,64.4,3.3,25.1
56277,74372,6147,23611,37647,39306,50000,55938,5.7,4.6,24.6,13.3,13.5,5.3,58.3,7.8,25.2
56278,60714,6163,16591,30398,34740,40288,53375,5.3,6.8,21.2,7.5,13.8,5.8,60.2,10.9,19.5
56279,81815,11238,27250,29306,35536,44375,60000,6.1,1.8,26.8,26.7,8.8,3.9,64.4,8.5,21.8
56280,75442,9505,-,35000,33000,32500,46250,3.7,0.6,22.7,15.1,6.0,2.3,64.6,10.7,19.1
56281,79484,14193,31667,26667,33438,35000,68125,9.0,2.6,26.4,13.5,21.6,5.0,74.2,4,13.7
56282,66696,4885,-,31250,36591,43750,47344,2.8,6.1,26.9,20.4,12.3,4.1,63.4,6.5,24.7
56283,64393,4165,20536,25864,35504,51838,73875,4.1,5.4,20.8,9.9,15.4,5.6,50.6,12.3,29.9
56284,69199,6296,32361,32348,38000,46563,-,6.5,6.7,23.4,12.6,15.4,1.7,60.2,4.1,27.3
56285,70017,7323,37083,31711,40250,38750,67500,1.6,5.6,30.0,13.8,8.9,3.2,61.5,10.6,19.2
56287,50262,9530,-,41250,-,36250,-,0.0,10.9,39.1,0.0,15.2,0.0,59.3,13,20.4
56288,94201,6529,30417,28750,36618,46298,65417,1.1,2.8,23.1,15.7,21.3,11.1,70.5,7.7,16.2
56289,70370,8453,36250,32917,37614,57083,56250,2.8,6.3,27.1,11.9,14.5,5.2,66.9,8.8,17.6
56291,67007,11135,-,30962,37321,41250,51250,3.0,4.0,22.3,13.0,16.3,4.0,56.9,11.9,24.9
56292,64278,9212,41250,30750,30000,43750,47083,4.4,3.6,19.4,11.9,14.8,2.6,60.5,6.5,25.6
56293,71132,6217,16607,32750,35000,50114,61250,3.1,3.3,24.3,9.2,18.0,4.5,57.4,7.5,26.9
56294,48644,17284,-,14167,41875,-,-,3.9,5.9,29.4,3.9,7.8,0.0,56.5,4.8,29
56295,68252,12346,23750,27813,32875,61250,74375,2.5,5.9,31.4,12.7,5.9,3.4,59.1,12.1,23.1
56296,64641,5250,38542,22171,27015,51667,55568,4.7,4.5,20.4,16.2,14.5,4.7,60.4,11.3,16.4
56297,69250,9767,43750,29875,35114,43125,46875,1.4,5.5,28.3,16.8,11.6,1.4,58.2,8.2,31.1
56301,69715,3228,20783,30363,30839,45841,68789,4.8,2.8,24.5,12.5,21.1,10.6,37.7,8.3,50.6
56303,63139,3653,22616,28901,33320,40111,59559,3.8,3.9,24.2,13.4,20.1,8.5,44.3,12.4,37.2
56304,56304,3103,14395,25185,31206,36513,56964,3.8,5.6,24.6,11.4,15.9,9.2,36.8,13.7,42.3
56307,77061,3387,24038,35814,39750,45833,69500,4.4,7.0,16.9,16.4,14.1,3.6,55.9,7.7,26.6
56308,77522,6005,21667,28667,36743,51613,65536,1.4,3.5,20.5,18.5,19.6,8.6,59.2,9.1,23.4
56309,69074,5401,-,30179,31220,39318,62917,0.6,4.3,23.8,18.6,16.8,5.8,68.9,8.2,15.5
56310,90322,9075,37500,35754,42446,55515,66908,2.4,3.7,21.6,13.8,16.3,6.2,62.7,7.9,24.6
56311,68306,12605,26250,17273,32500,30714,41250,3.0,7.3,26.0,13.4,9.5,4.1,58.1,8.4,23.7
56312,80200,6315,33438,31929,33462,43750,49688,2.4,6.5,23.1,16.2,9.5,3.4,61.3,7.1,24.8
56313,43922,13953,23750,30000,-,-,-,0.0,20.8,27.8,8.3,6.9,0.0,18.3,21.5,35.5
56314,74792,7790,71250,40125,41250,60208,-,3.0,6.0,19.7,14.8,10.7,2.6,59.3,8.5,26.9
56315,79350,8326,40417,29875,39625,45313,56250,2.3,4.1,22.7,16.5,11.6,5.0,71,5.4,18.6
56316,60202,4217,28750,25227,26250,44375,39583,3.5,5.8,21.4,15.2,12.9,3.7,59.2,8.2,23.4
56318,77921,6204,25417,33542,38750,54792,41750,3.2,5.5,24.0,13.1,13.0,6.5,71.6,4.2,20.6
56319,82663,7222,-,35114,36696,48036,57917,2.7,3.4,25.2,18.2,17.0,6.5,69.7,11.2,15.8
56320,83682,5825,27411,36036,38475,57083,57356,4.5,3.3,20.0,12.1,19.4,7.8,61.3,7.3,23.5
56321,-,**,-,-,-,-,26125,3.4,0.0,11.7,0.0,31.7,49.7,1.7,0.5,97.8
56323,65255,15102,32917,29688,32000,40972,-,4.7,6.3,21.7,9.4,12.3,1.8,52.2,11.8,27.5
56324,83436,9529,-,31442,33750,37750,67500,1.4,5.5,26.2,14.3,15.8,6.8,67.7,7.8,21.3
56325,72763,30156,-,21250,41250,41250,-,14.3,9.0,22.6,9.0,6.8,0.0,65.5,6.3,17.6
56326,72201,8064,34250,30568,31360,41406,-,1.7,4.6,22.8,21.1,11.6,2.5,61,7.6,23.2
56327,98069,14170,"250,000+",36250,43438,45833,-,0.9,3.7,17.2,22.0,20.5,7.1,79.4,4.5,13.6
56328,53984,11227,-,31776,11625,-,-,2.8,2.8,14.2,17.9,3.8,0.0,55.6,7.1,32.5
56329,73697,3244,32150,34479,38365,45568,67656,2.4,6.0,23.9,12.9,11.3,4.7,61.6,9.6,23
56330,72548,5287,23750,35750,37500,45417,51667,2.3,5.4,30.2,14.9,10.6,3.3,61.9,10,23.7
56331,90232,10532,32361,33036,44375,49063,48125,5.1,6.1,15.7,15.1,10.2,5.1,68.1,3.2,24.4
56332,83336,9264,31607,26905,36339,51625,101136,1.9,2.7,21.8,19.9,23.4,4.7,73.7,3.7,18.3
56334,73446,5043,37813,30561,36729,50096,63750,2.0,3.0,21.8,16.1,18.1,8.7,61.9,11,18.2
56335,61260,10546,-,36250,31042,-,-,4.9,2.8,16.1,11.2,2.8,1.4,52.4,7.1,37.6
56336,72353,6803,31333,36071,37750,34500,-,2.2,5.8,27.3,11.4,11.6,5.5,67.2,6.8,18.2
56338,68391,3854,27083,32656,39375,58750,52083,4.2,7.6,19.3,10.1,6.3,5.9,60.1,8.3,23.8
56339,67533,6014,28897,31714,42262,40625,-,1.9,7.0,17.9,17.8,11.5,3.7,63.1,7.1,24.5
56340,73258,5393,51750,40111,38185,42212,58750,3.0,2.4,19.3,16.2,9.1,2.4,56.4,8.2,29.9
56342,55117,3637,13750,26141,30855,42500,53125,2.4,7.8,24.5,9.5,9.8,4.4,55.2,12.7,23.2
56343,67753,7201,26250,26397,32125,60875,38942,1.5,4.6,20.6,21.5,16.3,5.2,65.1,7.4,21.5
56345,66937,7625,23125,30605,33274,40833,55833,4.3,5.8,22.9,11.3,13.0,5.5,55.4,10.1,25
56347,56598,2766,26795,31184,35505,49554,48162,11.8,8.3,17.3,12.4,11.1,3.9,56.4,9.2,25.2
56349,79928,10887,51250,30417,38068,49500,51250,0.7,3.9,25.4,22.4,16.1,1.8,71.3,7.1,16.4
56350,55080,6032,37250,21964,34722,31667,-,4.6,15.2,32.7,7.7,3.6,1.8,58.9,10.6,27.3
56352,71511,4426,24688,35027,39970,51615,68068,9.0,4.7,22.0,12.5,11.2,3.9,57.3,8.2,27.8
56353,67162,3235,24750,31964,38558,43750,57132,3.1,8.1,26.0,11.7,10.1,4.9,55.9,12.5,25.4
56354,70465,4123,33125,27083,37125,39375,43958,2.5,4.8,20.5,15.8,13.7,7.5,63.9,7.4,22.8
56355,68073,14968,28438,30000,40556,42500,-,3.1,3.8,22.5,33.0,5.1,1.5,71.8,9.6,15.3
56356,57027,15356,-,31250,35000,40625,-,2.4,9.6,13.4,11.0,16.3,0.5,50.4,12,27.2
56357,81870,12698,36250,31964,40417,61875,63333,1.0,8.6,20.4,12.0,11.9,4.6,67.4,5.2,21.1
56358,66493,3486,30313,32356,36296,37115,63250,2.0,7.6,24.1,13.2,7.3,3.4,61.2,10.2,23.8
56359,52606,3143,20500,25464,30667,44500,51071,2.9,11.3,24.7,9.7,9.0,5.3,43.7,13.8,33
56360,66333,5053,51250,30486,32478,46750,53462,1.9,4.1,22.2,17.4,10.4,5.1,60.6,10.8,20.5
56361,58022,3386,21250,26667,32241,45938,41875,4.0,4.0,22.3,16.1,12.4,3.8,61.1,8.7,20.2
56362,70304,4586,23663,32083,35272,44635,55395,5.4,7.2,22.0,11.6,11.5,6.5,58.3,7.7,23.9
56363,59466,13196,30000,35179,24167,-,-,1.8,8.8,23.0,10.6,5.3,1.8,36.8,9,41.7
56364,72302,4369,26607,31615,37452,46058,58438,4.0,6.9,20.0,13.9,9.6,3.8,60.1,7.5,25.6
56367,89819,5491,37946,33867,39901,51011,68359,0.9,4.8,26.4,18.1,14.5,6.7,62.4,9.7,24.9
56368,77795,4283,26250,32550,35911,53542,75625,4.0,3.4,23.7,15.2,10.5,5.2,61.9,6.8,24.7
56369,55197,9800,29808,36923,38077,31953,-,10.7,17.0,16.3,8.4,11.7,0.0,40.5,7.3,43
56371,61600,12629,-,39375,26875,-,-,7.6,13.6,31.8,0.0,0.0,3.0,51.9,13.6,21
56373,69545,4774,33125,35847,33867,48854,64097,4.1,5.4,25.0,16.9,13.1,5.0,61.4,6.2,26.3
56374,76373,4905,30800,30760,37857,42964,48558,1.8,1.6,23.5,15.1,19.5,15.8,45.8,5.9,45.3
56375,81510,7549,33036,34375,46324,35893,70833,1.8,3.6,23.5,17.6,12.7,4.9,62.2,7.8,26.1
56376,69840,10177,48125,31071,40625,49375,-,7.7,4.8,21.5,12.0,8.1,1.4,63.6,8.4,22.8
56377,97981,6152,28482,33917,41284,58668,72644,1.2,1.5,22.5,14.8,30.3,13.6,57.5,9.5,28.4
56378,69992,5354,21420,32500,33116,47460,62941,6.1,5.1,20.9,11.8,12.7,5.0,59.1,6.7,27
56379,68317,4169,-,32149,35568,41051,59896,2.5,4.3,27.1,13.4,18.8,6.3,50.5,11.2,31.6
56381,76224,9199,30625,30000,36875,40938,55625,3.5,5.1,23.2,16.0,13.9,5.8,63.5,10.6,17.3
56382,66590,4971,13036,30063,32050,39643,59250,4.9,7.4,21.4,12.5,8.3,2.8,58.9,9.3,26.8
56384,60474,13113,-,38750,-,-,-,11.9,10.2,24.2,12.3,6.4,3.0,45.6,8.5,30.9
56385,63391,6714,31042,32125,29688,48750,-,1.9,4.5,25.2,19.1,11.2,2.1,64.6,8.5,20.1
56386,55944,9171,40625,18750,25000,31607,55000,1.6,7.6,21.8,10.4,10.0,4.2,58.9,9.8,22.3
56387,53760,5922,29178,28125,31557,44886,72216,9.2,7.7,20.0,12.8,14.9,8.3,31.9,11,49.3
56389,86444,34425,-,-,38750,-,-,0.0,0.0,8.0,64.0,2.7,8.0,43.8,6.7,49.4
56401,70020,5069,21250,27927,32828,50691,64392,1.5,5.8,26.4,13.8,14.4,8.0,50.9,13.6,28.5
56425,78554,8767,15000,25221,39707,46902,70717,2.3,2.1,23.8,16.5,16.0,15.0,56.3,9.8,27.1
56431,58438,2059,23313,23698,33333,43750,57125,2.4,5.1,23.8,11.1,12.6,5.9,64,10.5,17.3
56433,63819,6994,15750,25787,35769,41731,58125,1.7,4.6,27.3,9.6,15.5,5.0,61.7,10.9,19.7
56434,56937,9748,-,31250,32250,-,-,19.5,4.4,25.8,6.9,8.2,0.6,60,2.4,31.2
56435,53306,3637,23000,24792,27868,35563,36875,3.2,8.2,22.4,11.8,13.0,4.3,61,11.7,20.6
56436,56805,37297,-,-,-,-,-,0.0,10.0,37.5,5.0,5.0,0.0,26,28,30
56437,54674,3436,30833,34063,31944,53125,-,7.3,5.3,21.6,17.8,11.2,3.5,57.8,7.3,28.6
56438,67776,3458,36250,30292,35463,43500,35000,4.6,4.4,24.2,16.2,9.8,3.2,57.9,10.4,26.2
56440,51779,4593,18393,31786,28333,35000,-,10.8,7.1,18.2,10.5,8.7,2.3,58.6,9.7,22.9
56441,60487,6185,30938,24375,30065,38929,-,4.6,10.7,23.0,11.5,10.3,4.5,48.8,12.1,27.6
56442,90099,10551,-,28036,34688,41985,41136,0.0,0.9,21.5,10.4,25.5,12.1,68.4,10.3,14.7
56443,61943,4680,29750,26667,31490,40938,50938,2.5,8.0,22.3,12.9,16.1,7.1,61.9,12.1,20.9
56444,72686,7951,18750,28405,31875,35833,70000,1.4,5.0,24.3,11.0,15.0,8.7,63.3,11.9,16.1
56446,57683,8571,25833,30486,29643,41563,-,6.3,4.9,23.3,14.7,7.6,2.1,54.2,11.4,24.5
56447,58959,6787,17875,17321,28500,62083,45000,0.5,9.8,21.7,11.8,13.8,8.0,62.7,10.6,16.3
56448,77139,19608,-,28438,33750,11875,-,2.3,5.5,30.9,7.0,16.4,3.9,65.9,10.9,14.1
56449,80396,8022,21875,31063,41250,46667,70000,2.2,5.5,22.4,16.1,11.2,4.8,65,10.6,20.1
56450,49085,4730,6250,20833,24141,41250,-,5.1,11.6,25.2,7.1,10.5,3.4,56.6,18.3,16.1
56452,68130,5038,18125,26923,33636,25417,39583,1.5,3.2,22.6,7.6,18.0,12.3,68.6,8.2,14.9
56453,53885,5552,19167,21797,31000,39250,88750,2.2,8.2,23.5,18.5,8.4,1.1,48.2,19.1,27.9
56455,59145,5379,-,27361,34643,42065,60000,0.2,7.3,20.5,10.4,15.6,6.3,57.4,13.1,24.4
56456,40958,11526,-,25000,38750,-,-,0.0,14.8,7.4,7.4,7.4,0.0,25,19.4,41.7
56458,71155,10589,-,37250,30833,36250,41875,0.4,3.2,26.4,11.2,12.0,9.6,58.6,11.4,20.4
56461,69071,4193,12000,27050,32167,45278,50179,1.6,5.2,23.5,11.6,17.3,8.3,61.9,10.4,22.2
56464,57957,3043,24063,29643,30750,40069,51071,4.3,5.3,21.7,11.4,10.6,4.4,59.1,11.1,21.2
56465,80442,9404,-,32287,30469,40313,40000,0.5,2.0,27.7,15.4,15.4,5.7,70.8,9.7,14
56466,58005,4901,31174,29063,28426,29500,71250,3.4,7.0,26.7,11.8,11.6,4.0,56.9,12.7,25.1
56467,66927,6228,16667,19545,32784,40391,54583,0.7,4.8,22.9,13.1,21.3,8.1,72.7,8.6,13.2
56468,89201,7176,45625,30347,31759,48182,67159,1.3,2.6,24.7,13.5,27.7,10.4,66.2,9.3,19
56469,63263,5215,-,25882,26500,38125,48333,1.6,6.3,26.8,13.3,6.9,2.8,65.7,13,8.7
56470,65105,3180,20893,26964,27690,43401,50208,2.6,5.4,23.1,11.1,18.3,8.5,61.9,10.4,21.2
56472,69691,4006,22500,27150,35250,45865,47344,1.0,3.2,26.2,11.8,20.4,9.0,60.5,11.1,20.9
56473,72242,5474,41806,37049,30701,41397,101250,3.4,7.4,25.8,13.2,13.8,4.1,71.1,8.2,15.6
56474,57166,4811,22500,23700,27131,32279,51458,2.1,7.9,25.4,9.4,11.6,4.6,57.5,11.3,22.9
56475,70293,8675,32969,31853,31188,41111,52083,2.3,5.8,26.3,13.8,12.0,3.1,60.1,11.4,24.9
56477,56196,5173,20750,30705,31897,37917,52500,2.4,6.9,24.7,14.8,10.2,3.0,62.5,9.5,20.2
56479,58049,4805,19286,25898,32559,48036,47650,3.4,7.3,26.1,13.1,13.3,4.0,55.7,13.5,21.7
56481,63551,4693,16364,28214,32465,41023,46563,0.9,5.1,25.1,16.2,8.4,5.0,60.2,9.6,23.8
56482,58828,6919,24271,24688,29398,53429,52031,4.6,8.2,28.8,10.9,7.3,3.2,48,13.1,29.3
56484,61772,3422,24444,28984,26156,40208,48750,2.0,6.7,25.1,10.8,17.6,8.6,54.2,10.6,27.9
56501,71117,4047,30327,26590,31923,50267,63864,2.6,3.8,23.4,13.5,19.3,8.3,54,10.3,27.7
56510,66440,4568,14338,31115,41029,36429,70000,2.5,4.3,17.8,12.7,15.5,3.7,55.8,10.2,24.9
56511,78475,6655,21719,30547,44464,51964,53611,2.0,3.4,23.1,14.5,18.7,6.2,62,10.5,20.5
56514,79507,5572,43333,42123,41368,45455,76667,1.7,5.0,24.6,13.8,21.8,6.1,62.3,8.3,23.2
56515,68904,4590,17292,23625,28657,40990,40625,1.4,2.9,21.4,15.9,24.6,11.4,66.2,9.1,14.2
56516,57210,9835,11944,30417,32917,48750,46250,2.5,9.8,23.9,12.3,7.4,3.7,62.1,6.6,23.6
56517,62599,10322,31875,38750,26250,38750,-,0.0,7.0,28.6,17.8,11.9,2.7,58.8,7.8,25
56518,52587,7536,-,30240,40833,58750,-,2.4,4.4,18.4,20.4,3.4,1.9,60.5,8.3,23.3
56519,61107,8569,-,23000,38750,-,53958,0.0,2.1,27.8,22.5,8.0,3.7,47,8.7,37.9
56520,56574,4738,10938,27679,36786,42679,57663,3.7,4.7,22.2,22.1,17.6,4.0,48.9,14.2,25.1
56521,67878,11452,28438,31667,36406,40313,54250,1.4,5.3,21.4,14.1,10.0,5.9,57.5,8.2,30
56522,71520,10736,-,31500,28750,41250,-,2.2,3.3,25.2,24.8,13.1,2.9,66.7,8.6,19.6
56523,69518,6212,-,33750,37500,41250,48750,3.3,3.6,23.4,9.9,20.7,4.4,62.5,12.7,16.4
56524,67509,10500,-,18750,30625,36875,76667,3.6,7.5,19.7,9.0,19.1,5.6,64,9.7,18
56525,74778,15355,-,44375,41250,63000,48750,0.0,1.2,27.4,11.9,17.9,20.2,50.5,12.9,31.7
56527,46910,6279,24205,15833,36083,36250,-,2.4,7.5,22.4,14.3,6.4,4.6,67.6,8.7,19.7
56528,71160,5124,40625,23375,30598,37500,56875,1.4,3.8,25.7,9.9,17.7,8.8,75.3,8.6,11.8
56529,71487,9494,-,28167,32229,47589,75556,5.7,1.5,30.7,11.0,15.2,8.0,63.5,11.3,18.9
56531,68824,9378,32143,28654,35750,37083,66250,1.8,6.3,27.7,15.5,14.5,3.8,61.8,7.9,21.3
56533,77542,8681,-,-,40000,66500,-,1.5,1.5,35.1,22.7,13.4,3.6,69.3,2.1,22
56534,94073,14347,26944,29643,37500,53250,58750,3.9,8.0,23.1,12.8,12.3,6.6,62.9,8.8,24.1
56535,67339,8095,26458,27500,31579,38750,51875,5.7,8.3,22.3,10.2,10.2,8.3,58.8,9.3,20.9
56536,76931,12749,-,40469,37031,40625,-,0.0,3.4,26.5,5.9,20.2,3.1,60.4,11.4,25.8
56537,68086,3456,14583,26545,36363,51177,66222,2.0,6.9,21.0,15.3,19.7,8.3,55.9,9.3,25.5
56540,66977,5305,20000,30417,27477,51250,55000,6.2,3.6,24.1,11.2,13.1,5.2,56.6,9.7,26
56541,N,N,-,-,-,-,-,0.0,0.0,0.0,50.0,0.0,0.0,100,0,0
56542,61730,4308,40104,26250,33021,45417,53611,3.9,4.6,23.0,11.7,16.9,5.7,55.1,12.2,24.4
56543,68940,10233,-,33750,43889,41250,-,6.3,8.1,12.5,23.1,9.4,0.6,68.9,7.8,18.9
56544,69194,2925,32813,30733,39089,42188,54688,3.8,5.1,20.0,14.4,15.2,6.5,64.3,7.3,22
56545,65989,6014,27083,31172,38000,50000,-,2.5,6.3,24.2,14.8,9.6,2.9,60.7,5.9,27.7
56546,83767,13307,33125,30938,42250,58750,85625,1.7,5.7,19.4,12.6,22.9,2.9,69.2,9,18.9
56547,93002,8559,31250,31964,49688,53688,63125,2.2,3.1,21.1,13.8,21.0,7.4,65,8.2,23.8
56548,67280,12849,-,27083,28594,47404,36250,3.9,12.5,24.8,11.8,20.2,3.0,54,11,24.8
56549,88797,5112,-,41366,43777,52798,73500,1.7,3.0,24.9,11.8,19.4,8.6,66.6,5.3,23.2
56550,56943,9545,26875,27132,25000,-,26429,3.6,4.6,15.8,13.2,15.1,5.6,57.8,9.5,25.9
56551,56833,4970,23667,30500,32024,37500,49375,3.2,6.5,25.9,11.9,12.3,4.5,58.9,11.1,20.3
56552,104713,41541,45417,40000,27000,43750,113125,1.8,4.6,20.0,10.7,15.4,5.4,66.3,6.1,23.6
56553,85487,14839,-,37917,47500,52917,-,1.1,3.3,17.1,14.9,20.4,1.7,55.8,14.6,19.1
56554,84883,6971,37292,33587,36818,51667,58750,2.7,4.9,22.9,12.8,19.5,8.4,64.8,9.3,19.8
56556,71004,10963,20625,27500,41154,32000,47500,5.1,6.9,25.8,11.0,9.1,2.9,52.1,14.9,19.9
56557,56191,3420,16346,26382,31538,48125,53750,3.7,10.5,28.3,9.9,7.8,2.9,44.2,8.3,38.6
56560,69188,2534,28633,33601,35774,46900,57306,1.8,3.2,20.9,13.9,26.7,10.4,45.8,7.7,41.5
56565,69095,18819,-,50000,-,-,-,6.1,6.1,21.2,6.1,6.1,0.0,57.6,9.1,9.1
56566,43508,4706,17500,25000,32500,-,31875,4.6,16.4,23.2,12.1,8.2,3.2,28.1,14.5,47.9
56567,61357,3981,32031,30383,32656,37833,49500,3.9,6.2,26.5,12.1,10.4,4.7,55.9,10.9,25.9
56568,54119,17880,11750,26250,29000,-,-,0.0,21.3,24.3,6.6,1.5,1.5,80.7,5.3,11.3
56569,52281,4993,13125,28571,31875,46250,63750,3.7,9.8,21.0,14.0,8.8,3.1,47.9,7.9,36.6
56570,66575,5816,31250,33929,30833,33438,39063,1.9,5.8,24.0,15.6,10.1,5.0,63.1,6.6,23.6
56571,70040,5956,20966,26058,32500,51250,57708,3.2,6.8,20.5,14.5,15.4,7.5,68.8,8.8,16.7
56572,74053,4063,33264,30091,30512,34091,55714,8.3,5.7,23.0,10.6,15.9,7.4,64.2,8.7,21.7
56573,76831,5784,31446,30458,40529,41746,62500,2.3,5.0,22.8,11.4,19.5,7.3,56.5,10.4,24
56574,70429,15005,80250,36607,38125,41250,30938,2.1,7.1,24.1,9.2,11.3,5.0,57.5,5.6,29.4
56575,51217,6777,38750,21875,30481,72667,63750,0.2,5.9,15.4,10.6,23.1,6.8,46.6,6.8,33
56576,76700,14389,21607,25795,31250,35417,54375,1.4,7.3,26.0,14.9,12.9,10.4,68.9,8.6,16.6
56577,N,N,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,100.0,100,0,0
56578,77726,13848,-,37708,35893,39375,50625,1.1,2.5,32.3,15.2,13.8,8.7,68.7,9.8,18.1
56579,66327,4447,-,28854,41125,36875,43750,2.2,3.1,20.4,17.4,12.8,5.4,68.9,9.7,17.1
56580,82015,6496,-,36250,42120,43125,57188,0.7,3.2,26.8,16.4,14.6,4.2,62.4,5.6,27.1
56581,56425,7605,-,30500,37083,53750,-,1.2,5.8,27.5,5.3,14.6,1.2,45.5,16.1,29.9
56583,126770,73924,-,31250,35000,-,-,2.9,5.7,15.7,24.3,0.0,5.7,74.3,6.8,6.8
56584,57147,3679,26250,29318,35469,41953,40625,4.3,5.3,21.5,10.9,11.3,4.0,56.1,13.2,21.8
56585,73245,8906,-,45188,41875,29375,56875,3.6,4.6,15.2,12.2,12.1,4.7,61.9,9.6,18.6
56586,72183,4545,20625,31607,35417,43750,40625,0.4,4.0,22.0,17.6,16.3,6.6,68.9,8.7,16.7
56587,72889,7239,48056,35875,31875,31250,52500,1.6,4.9,26.3,10.9,17.2,7.2,61.9,7.4,21.6
56588,74950,9930,-,22000,32125,46250,15000,3.7,2.0,25.4,11.9,11.4,7.0,72.7,5.9,10.8
56589,62743,6272,18125,27679,33229,35625,31250,2.2,6.9,23.6,14.4,9.5,5.5,47.4,11,36.3
56590,72407,15482,-,26771,48750,38125,-,1.3,3.5,26.3,18.4,11.0,2.6,58.1,13,21.9
56591,43464,11059,20625,-,47500,36944,-,2.1,7.3,17.7,13.5,14.6,0.0,23.6,7.1,62.9
56592,57044,8527,28750,40625,31750,30938,-,6.5,9.1,25.6,12.3,16.2,4.5,62,12.2,19.8
56593,-,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-
